,Unnamed: 0,Cumulative_YoutubeSess_LTE_DL_Time,Cumulative_YoutubeSess_LTE_DL_Volume,Cumulative_YoutubeSess_UMTS_DL_Time,Cumulative_YoutubeSess_UMTS_DL_Volume,Max_RSRQ,Max_SNR,User_Satisfaction,Cumulative_Full_Service_Time_UMTS,Cumulative_Lim_Service_Time_UMTS,Cumulative_No_Service_Time_UMTS,Cumulative_Full_Service_Time_LTE,Cumulative_Lim_Service_Time_LTE,Cumulative_No_Service_Time_LTE
7605,7606,0.0,0.0,3.374,52.0,-4.0,2.5,1.0,59397,5143,1598,126311,2842,2935
18056,18059,176.418,75158.0,0.0,0.0,-6.0,29.8,0.0,82000,6260,1357,160791,2004,9650
4251,4252,152.599,77666.0,8.788,1108.0,-3.0,-19.8,0.0,10205,1271,559,106625,2259,181
9726,9728,11.692,170.0,12.992,160.0,-7.0,24.2,1.0,93780,6071,1044,214625,1976,5053
10967,10969,1745.561,680869.0,77.719,9309.0,-4.0,-19.8,0.0,60919,3229,1641,182578,2951,3407
16438,16441,7.695,50.0,0.0,0.0,-4.0,-19.7,0.0,49855,1139,1124,26571,4696,5321
18212,18215,6.468,49.0,0.0,0.0,-7.0,25.0,0.0,61939,3607,1603,129438,2489,1794
3369,3369,1056.614,158129.0,0.0,0.0,-4.0,-19.8,0.0,57322,3368,4361,11139,3414,1775
19499,19502,573.0490000000002,393259.0,0.0,0.0,-6.0,29.4,0.0,31053,3235,3477,62527,4963,9133
20375,20378,2.244,28.0,0.0,0.0,-7.0,24.2,0.0,62814,2487,646,107005,3668,308
16853,16856,3.127,26.0,0.0,0.0,-7.0,23.2,0.0,40003,848,3087,180455,1785,3966
16142,16145,9261.862,11582221.0,561.475,238639.0,-7.0,26.8,0.0,78210,5323,1294,95544,1881,1328
2769,2769,2047.163,600068.0,7.504,1011.0,-4.0,-19.8,1.0,86919,2092,2468,142414,3823,2992
8322,8323,2.892,53.0,12.173,297.0,-3.0,-19.8,1.0,53678,4403,1439,280587,2562,5383
12897,12899,34.709,7418.0,0.0,0.0,-4.0,29.6,0.0,52452,8711,510,199696,1401,3109
14729,14731,12.75,10543.0,0.0,0.0,-6.0,21.8,0.0,52916,3647,12,124816,6197,4540
19655,19658,6.691,30.0,0.0,0.0,-6.0,26.2,1.0,42421,3079,3213,103948,80,2981
83,83,376.775,60131.0,0.0,0.0,-6.0,27.2,0.0,38428,3059,1163,151568,1176,4425
21109,21112,142.92600000000004,117759.0,3.365,528.0,-6.0,26.6,0.0,83450,4580,3403,178939,2378,3017
19723,19726,1687.487,1116306.0,504.73200000000014,76132.0,-7.0,28.0,0.0,21743,967,1719,146613,3591,4349
11842,11844,252.80200000000002,118546.0,329.709,43173.0,-3.0,29.2,0.0,49461,1608,2653,106441,3292,8149
17614,17617,16.846,18712.0,0.0,0.0,-6.0,-19.8,1.0,70992,5344,4032,167719,5134,6548
15555,15558,143.93200000000004,74659.0,0.0,0.0,-6.0,26.4,0.0,52098,1152,2250,213252,2161,3429
2873,2873,2.123,53.0,0.0,0.0,-4.0,24.0,0.0,34258,5052,576,182956,3670,14337
4018,4019,12.712,6765.0,0.0,0.0,-7.0,28.0,1.0,76010,7487,1034,197182,3837,1571
3517,3517,45.68,27081.0,3.264,89.0,-6.0,29.8,0.0,76649,3711,2791,213967,3768,3780
9455,9457,12.393,124.0,0.0,0.0,-3.0,-19.8,0.0,39714,613,3889,105941,2186,4658
5768,5769,917.288,279213.0,70.17399999999999,8748.0,-7.0,26.2,0.0,72055,3548,2654,159413,5087,5510
13586,13588,61.428,9944.0,57.46099999999999,8378.0,-5.0,29.0,0.0,52571,1445,526,168108,5958,5216
13159,13161,65.503,16571.0,8.068999999999999,0.0,-5.0,27.8,0.0,66548,1085,3684,128229,1711,3611
18025,18028,600.4169999999998,543118.0,0.0,0.0,-3.0,-19.7,1.0,92390,8180,3794,161962,222,13637
12542,12544,13.925,431.0,0.0,0.0,-4.0,-19.9,0.0,63725,2797,1857,293707,4927,4155
8502,8503,122.21,68616.0,0.0,0.0,-3.0,13.2,0.0,51783,4404,1156,239539,4226,5830
23317,23320,2.893,33.0,0.0,0.0,-6.0,25.2,0.0,83765,6357,1603,169277,243,4586
1616,1616,2.087,42.0,2.011,54.0,-6.0,-19.8,1.0,69862,3865,3294,104004,3504,1012
11913,11915,637.2149999999998,236152.0,281.298,40166.0,-3.0,-19.7,0.0,95288,2274,760,105993,3033,8562
16239,16242,2303.5400000000004,437575.0,178.79399999999995,11281.0,-9.0,7.0,0.0,86102,519,862,117083,3676,819
2588,2588,76.17699999999998,21804.0,0.0,0.0,-4.0,-19.8,0.0,78106,5111,3359,172025,510,5828
866,866,4.922,53.0,0.0,0.0,-3.0,-19.8,1.0,56335,5552,3072,215248,1604,6369
14185,14187,15190.89,3009961.0,703.9199999999997,104431.0,-3.0,-19.8,0.0,87036,4539,444,167659,3764,9540
15677,15680,67.797,20063.0,0.0,0.0,-8.0,21.0,0.0,84564,3460,132,147067,2580,3744
3957,3958,203.431,196252.0,37.817,4650.0,-4.0,-19.8,0.0,51712,826,992,106028,4036,4821
6777,6778,16.512999999999998,21487.0,0.0,0.0,-6.0,29.3,1.0,85935,344,2968,195452,1065,9780
719,719,3.695,51.0,0.0,0.0,-5.0,-19.9,1.0,3623,5382,1636,237684,3960,1337
4846,4847,17.805999999999994,8193.0,0.0,0.0,-4.0,-19.8,0.0,101266,1161,1437,160755,2526,13672
